Elevation(ft),Area(acres),Volume(acft)
4176.33,226514.33,698518.27
4176.34,226777,700731.56
4176.35,227043.96,703058.25
4176.36,227299.61,705276.68
4176.37,227586.45,707608.77
4176.38,227846.66,709832.53
4176.39,228095.55,712170.11
4176.4,228337.01,714398.72
4176.41,228578.45,716741.28
4176.42,228820.79,718974.6
4176.43,229063.77,721322.14
4176.44,229291.77,723560.16
4176.45,229545.23,725912.56
4176.46,229770.14,728155.24
4176.47,230021.97,730512.55
4176.48,230247.49,732759.9
4176.49,230508.02,735122.12
4176.5,230747.13,737374.29
4176.51,230961.01,739628.72
4176.52,231195.55,741998.17
4176.53,231422.02,744257.01
4176.54,231660.67,746631.21
4176.55,231885.18,748894.59
4176.56,232126.9,751273.54
4176.57,232352.97,753541.5
4176.58,232586.66,755925.23
4176.59,232792.6,758197.58
4176.6,233042.92,760585.86
4176.61,233250.41,762862.68
4176.62,233470.7,765255.52
4176.63,233675.46,767536.49
4176.64,233902.16,769933.73
4176.65,234117.87,772218.94
4176.66,234356.32,774620.78
4176.67,234570.47,776910.44
4176.68,234791.63,779316.81
4176.69,235022.09,781610.77
4176.7,235256.48,784021.88
4176.71,235464.48,786320.3
4176.72,235689.23,788735.86
4176.73,235937.89,791038.67
4176.74,236170.15,793459.13
4176.75,236380.08,795766.48
4176.76,236596.27,798075.9
4176.77,236830.24,800503.08
4176.78,237086.37,802817.09
4176.79,237315.29,805249.3
4176.8,237539.98,807567.87
4176.81,237786.44,810004.79
4176.82,238028.22,812328.06
4176.83,238263.03,814769.94
4176.84,238513.16,817097.89
4176.85,238747.56,819544.74
4176.86,238993.4,821877.4
4176.87,239235.92,824329.21
4176.88,239486.75,826666.66
4176.89,239738.88,829123.6
4176.9,239993.49,831465.98
4176.91,240245.78,833928.1
4176.92,240497.37,836275.4
4176.93,240764.52,838742.75
4176.94,241025.32,841095.19
4176.95,241279.9,843567.91
4176.96,241532.87,845925.33
4176.97,241815.87,848403.37
4176.98,242099.4,850766.16
4176.99,242395.15,853250.09
4177,242666.9,855618.51
4177.01,242934.83,857989.49
4177.02,243245.72,860482.08
4177.03,243521.16,862858.8
4177.04,243835.39,865357.32
4177.05,244140.89,867739.91
4177.06,244453.99,870244.82
4177.07,244782.17,872633.55
4177.08,245139.3,875145.26
4177.09,245573.04,877540.95
4177.1,246068.6,880061.54
4177.11,246387.43,882466.13
4177.12,246669.12,884993.98
4177.13,247058.77,887404.59
4177.14,247545.91,889940.5
4177.15,247923.53,892359.8
4177.16,248241.07,894903.57
4177.17,248546.32,897329.23
4177.18,249094.53,899880.46
4177.19,249729.2,902316.76
4177.2,250011.95,904878.89
4177.21,250293.91,907321.7
4177.22,250598.22,909889.73
4177.23,250883.97,912338.36
4177.24,251166.31,914912.28
4177.25,251457.37,917366.44
4177.26,251740.45,919823.45
4177.27,252031.03,922406.2
4177.28,252316.91,924868.78
4177.29,252610.06,927457.44
4177.3,252881.46,929925.63
4177.31,253204.75,932520.15
4177.32,253511.55,934994.36
4177.33,253787.73,937595.16
4177.34,254063.06,940074.84
4177.35,254358.05,942681.54
4177.36,254603.28,945166.64
4177.37,254842.38,947778.49
4177.38,255085.92,950268.29
4177.39,255361.65,952885.28
4177.4,255621.75,955380.25
4177.41,255904.13,958002.75
4177.42,256162.28,960503.02
4177.43,256414.06,963130.96
4177.44,256629.58,965636.03
4177.45,256861.52,968268.58
4177.46,257097.03,970778.08
4177.47,257342.64,973415.54
4177.48,257566.87,975929.68
4177.49,257848.76,978572.14
4177.5,258106.32,981091.35
4177.51,258375.59,983613.21
4177.52,258618.78,986263.81
4177.53,258863.91,988790.51
4177.54,259115.39,991446.18
4177.55,259358.37,993977.71
4177.56,259630.62,996638.5
4177.57,259867.5,999175.11
4177.58,260117.38,1001841
4177.59,260362.03,1004382.36
4177.6,260630.59,1007053.51
4177.61,260862.52,1009599.82
4177.62,261113.4,1012275.96
4177.63,261335.88,1014826.95
4177.64,261587.13,1017507.94
4177.65,261804,1020063.52
4177.66,262079.39,1022749.39
4177.67,262307.13,1025309.84
4177.68,262548.26,1028000.73
4177.69,262775.4,1030565.74
4177.7,263018.08,1033261.42
4177.71,263246.07,1035831.06
4177.72,263488.5,1038531.56
4177.73,263706.58,1041105.74
4177.74,263951.99,1043810.96
4177.75,264179.91,1046389.71
4177.76,264409.99,1048970.66
4177.77,264641.69,1051683.04
4177.78,264879.8,1054268.54
4177.79,265121.5,1056985.76
4177.8,265372.48,1059576.03
4177.81,265623.06,1062298.35
4177.82,265859.59,1064893.44
4177.83,266090.47,1067620.68
4177.84,266322.6,1070220.3
4177.85,266569.58,1072952.33
4177.86,266806.17,1075556.66
4177.87,267047.97,1078293.62
4177.88,267300.9,1080902.7
4177.89,267547.76,1083644.78
4177.9,267805.17,1086258.73
4177.91,268057.41,1089006.01
4177.92,268305.8,1091624.91
4177.93,268561.13,1094377.34
4177.94,268822.94,1097001.22
4177.95,269094.78,1099759.02
4177.96,269368.81,1102388.14
4177.97,269645.49,1105151.58
4177.98,269920.78,1107786.14
4177.99,270207.54,1110555.32
4178,270481.48,1113195.4
4178.01,270760.59,1115838.14
4178.02,271045.86,1118615.94
4178.03,271353.09,1121264.29
4178.04,271662.73,1124048.33
4178.05,271992.04,1126702.72
4178.06,272298.21,1129493.23
4178.07,272632.06,1132153.99
4178.08,272977.52,1134951.2
4178.09,273371.26,1137618.78
4178.1,273785.14,1140424.03
4178.11,274140.82,1143099.36
4178.12,274605.96,1145912.79
4178.13,274942.39,1148596.07
4178.14,275293.93,1151417.18
4178.15,275624.61,1154107.15
4178.16,276005.27,1156935.19
4178.17,276387.34,1159632.53
4178.18,276724.04,1162468.13
4178.19,277127.97,1165172.62
4178.2,277387.62,1168015.53
4178.21,277652.77,1170725.64
4178.22,277903.86,1173573.94
4178.23,278136.83,1176288.94
4178.24,278390.54,1179142.16
4178.25,278647.17,1181862.09
4178.26,278891.28,1184584.39
4178.27,279160.76,1187445.39
4178.28,279407.81,1190172.79
4178.29,279667.95,1193039.07
4178.3,279909.62,1195771.31
4178.31,280175.09,1198642.74
4178.32,280412.11,1201379.99
4178.33,280682.87,1204256.55
4178.34,280899.29,1206998.62
4178.35,281145.33,1209880.14
4178.36,281378.24,1212626.76
4178.37,281638.39,1215513.31
4178.38,281917.75,1218264.97
4178.39,282145.6,1221156.87
4178.4,282423.58,1223913.57
4178.41,282665.38,1226810.68
4178.42,282881,1229572.06
4178.43,283124.97,1232473.91
4178.44,283329.36,1235239.72
4178.45,283553.9,1238146.06
4178.46,283765.14,1240916.14
4178.47,283995.1,1243826.92
4178.48,284204.88,1246601.3
4178.49,284423.53,1249516.54
4178.5,284621.69,1252295.03
4178.51,284821.59,1255075.45
4178.52,285027.41,1257997.08
4178.53,285229.23,1260781.46
4178.54,285424.86,1263707.16
4178.55,285608.21,1266495.39
4178.56,285808.08,1269424.97
4178.57,285995.15,1272217
4178.58,286201.62,1275150.55
4178.59,286390.35,1277946.4
4178.6,286619.89,1280884.23
4178.61,286809.65,1283684.12
4178.62,287048.48,1286626.28
4178.63,287236.82,1289430.38
4178.64,287445.71,1292376.73
4178.65,287634.59,1295184.72
4178.66,287843.57,1298135.14
4178.67,288036.17,1300947.02
4178.68,288238.82,1303901.54
4178.69,288440.62,1306717.33
4178.7,288650.73,1309676.01
4178.71,288834.68,1312495.74
4178.72,289052.97,1315458.5
4178.73,289251.55,1318282.23
4178.74,289460.78,1321249.23
4178.75,289644.92,1324076.88
4178.76,289843.97,1326906.38
4178.77,290045.79,1329879.39
4178.78,290260.21,1332712.86
4178.79,290466.89,1335690.18
4178.8,290693.13,1338527.82
4178.81,290903.62,1341509.59
4178.82,291106.09,1344351.39
4178.83,291327.14,1347337.44
4178.84,291527.8,1350183.43
4178.85,291742.95,1353173.83
4178.86,291939.51,1356023.84
4178.87,292170.74,1359018.47
4178.88,292376.13,1361872.71
4178.89,292615.64,1364871.91
4178.9,292827.91,1367730.5
4178.91,293074.13,1370734.37
4178.92,293304.36,1373597.56
4178.93,293548.83,1376606.31
4178.94,293756.89,1379474.01
4178.95,293980.13,1382487.33
4178.96,294202.99,1385359.24
4178.97,294439.4,1388377.18
4178.98,294648.88,1391253.57
4178.99,294873.81,1394276.01
4179,295100.79,1397156.7
4179.01,295331.22,1400039.64
4179.02,295558.07,1403069.08
4179.03,295792.97,1405956.48
4179.04,296073.68,1408990.92
4179.05,296325.25,1411883.47
4179.06,296593.9,1414923.29
4179.07,296873.3,1417821.01
4179.08,297180.63,1420866.61
4179.09,297485.29,1423770.25
4179.1,297788.22,1426822.11
4179.11,298071.75,1429731.51
4179.12,298403.39,1432789.58
4179.13,298731.88,1435705.2
4179.14,299074.02,1438770
4179.15,299403.43,1441692.23
4179.16,299672.57,1444763.66
4179.17,300083.78,1447691.95
4179.18,300532.59,1450771.13
4179.19,300916.27,1453707.96
4179.2,301234.2,1456795.16
4179.21,301463.94,1459738
4179.22,301680.51,1462830.26
4179.23,301904.49,1465777.4
4179.24,302175.35,1468874.36
4179.25,302416.28,1471826.5
4179.26,302618.12,1474780.74
